userName,content,score,at,appVersion
Rustam Pary,Baik,5,2022-06-03 03:56:38,4.9.3
RAMADANU ADITYA PUTRA S,Bagus,5,2022-05-22 05:03:03,4.9.3
Joko Aprianto,Driver untuk area malang tolong di tambah musih hujan  pesen berkali2 tidak dapat driver terus bikin kezell,5,2022-01-24 23:17:08,4.9.3
Nurul Sofiah,Bagus banyak promo,5,2021-11-12 11:11:08,4.9.3
Maura Pradita08,Ini aplikasi knp Masa pakai kuota data gak bisa di gunakan Harus pakai wifi Emang di semua tmpt ada wifiiianehhh bgt aplikasi,1,2022-01-26 23:33:19,4.9.3
Dian Wahyu,ok,5,2022-01-27 03:08:01,4.9.3
Abbas Basuni,Gojek sangat membantu aktifitas kami,5,2022-05-16 14:36:55,4.9.3
ZI tam,Baik,5,2022-01-17 23:23:12,4.9.3
lovely Sandra,Bebas macet pakai Gojek,5,2023-07-09 12:43:58,4.9.3
Anisa Mokodongan,Baguss sekali apk ini,5,2022-03-29 14:23:53,4.9.3
Krisna Handayana,Gojek sekarang sepi driver,1,2021-11-11 10:52:40,4.9.3
samuel blt,Orderan cepatn cepat sampen tdk nyasar,5,2022-06-12 12:21:28,4.9.3
Rangga Pandu,Kecewa dengan gofood sekarang tidak bisa lagi pakai 2 voucer sekaligus voucer aplikasivoucer resto Jadinya gk tertarik lagi untuk naikin go club Berharap aplikasi bisa kembali seperti dulu,1,2022-11-10 05:11:54,4.9.3
little kids,Aplikasi gak bisa di install,1,2023-06-18 08:14:51,4.9.3
Eko Santoso,Bagus,5,2022-03-28 06:45:53,4.9.3
Utis Sutrisna, Mari kita galbay pinjol Supaya bangkrut supaya Indonesia bebas riba,1,2023-06-17 09:04:23,4.9.3
Untung Budi,Maaf gw beri bintang dua Karena kolom rokok gak ada habis di upgrade,2,2022-11-10 09:57:23,4.9.3
Ahmad Zainul,Baik,5,2021-11-11 03:50:14,4.9.3
Fajri Subhani,Sangat baik,5,2022-09-16 12:33:32,4.9.3
AKROM AJA KALI,Bagus Banget Buat Top Up Di Game Dan Aman Lagi Tanpa Halangan,5,2022-03-29 07:40:26,4.9.3
Zidane Ramadhan,Mantap,5,2021-12-08 13:13:18,4.9.3
Bang Ali,Semoga selalu menjaga protokol kesehatan dan memberi promo terusselalu mengutamakan keselamatan dalam mengemudi,4,2022-03-29 09:01:11,4.9.3
Neng Juvee,Dikurangin lagi potongan untuk driver sama restonya yaa kasian pembeli,2,2022-06-19 05:57:59,4.9.3
296_Hibatullah Dony Ananda,Rute gofoodnya dijauhin biar biaya antarnya nambah makin lama makin mahal dan ngga ada diskon error sering bgt customer service lama,1,2023-06-12 06:14:38,4.9.3
Bang-joe joe,Ok,5,2022-03-04 14:30:29,4.9.3
Mantri Sumantri,Guud,5,2021-12-25 07:09:00,4.9.3
Dias Rachma Rosalina,Gofood saya sudah tidak bisa dipakai 2 minggu an ini katanya ada pemakaian yg tidak biasa Padahal saya juga gapernag memberi bintang kurang dari 5 samsek ga pernah nge cancel Kirain gegara down aplikasinya tp ya tetep aja,1,2022-08-17 05:55:33,4.9.3
Rina Rinarsih,Bermanfaat,4,2021-11-05 11:48:01,4.9.3
Lucient.,Sangat membantu dalam kehidupan sehari  hari,4,2021-11-19 08:35:19,4.9.3
Enra,Biaya aplikasi aja di gedein erorr mulu yg nga bisa chat ama driver lah nga bisa mesen layanan lah payah payah,2,2023-04-19 01:53:27,4.9.3
Si JackXD,Cot,1,2022-02-26 13:06:09,4.9.3
Ramli Saputra,Aman dan sangat membantu,5,2023-12-09 21:06:11,4.9.3
nabila riska,Ok,5,2021-11-28 01:54:09,4.9.3
Leman Terry,Kasih vocher dong gojek mana akun lama gak pernah kasih vocher gojek jangan pelit,5,2022-04-07 14:53:01,4.9.3
Ivhan Zay,Saya sebagai cs dan driver Di cs pesen makanan cari drivernya yg gacor2 jd lama pilih2 yg jauh pun jadi itu pun lama Di driver sehari order cuma di kasih 1 biji gmna mau nafkahin istri maaf kalo sy beralih dlu,1,2021-11-22 12:15:00,4.9.3
california has fallen,ONGKIRNYA MAHAL BANGET DAN TIDAK ADA PROMO ATAU VOUCHER  PAKE GRAB AJA BANYAK PROMONYA,1,2021-11-22 20:18:33,4.9.3
Butuh Hidup Official,Sanggat baik,5,2022-07-20 17:25:12,4.9.3
andry retnowati,Sangat membantu ,5,2022-07-21 01:10:32,4.9.3
Jannes Parlean,Ok,5,2021-12-20 01:36:18,4.9.3
jon sam,Senang byk cashback nya Kalau bs promo tetap berlanjut terussssss,5,2022-01-02 08:24:13,4.9.3
Irawan Setiawan,Mantap,5,2021-11-26 15:43:09,4.9.3
Ketut Lunca,Bhw NATHAL  TH BARU 2022 semua berbahagia tapi tetap laksanakan Prokes ok,3,2021-12-23 01:17:58,4.9.3
Rio Rizki Akbar,makin mahal harga gak stabil naik seenaknya gojek sendiri,1,2022-04-25 10:14:12,4.9.3
Bule Jacbug,Gojekangkutan murah meriah,5,2021-11-26 15:36:28,4.9.3
melda single,Saya kecewa sama gopay tidak bisa transfer ke rekening diatas jam 2100 ini bukan dompet digital Kalah dengan aplikasi dompet digital lain,1,2023-03-23 16:28:06,4.9.3
Rezaldi Tri akmal,Sangat terbantu,5,2022-04-08 07:11:11,4.9.3
zidan ilmi,Top up bisa dari semua walet dengan pakai kode QR Sebab kebanyakan orang punya lebih dari satu wallet,4,2021-12-20 01:39:59,4.9.3
Yayan Jiyan,Cukup bagus,3,2022-04-23 05:44:25,4.9.3
Dhika Alfansyah,Jlek,1,2022-04-10 09:56:52,4.9.3
Suparno Nauval,Bagus sangat bantu sekali,5,2021-12-28 11:22:46,4.9.3
Daman Surachman,Bagus,5,2022-04-20 08:56:13,4.9.3
stella meo,bagus,5,2021-11-26 12:50:31,4.9.3
Tika Mustika,Suksesss selalu for Gojek,5,2023-02-20 05:58:57,4.9.3
Alwi Lenggana,Oke,5,2021-12-22 10:23:18,4.9.3
4 . ARA NAYLARISTI,Ok,5,2021-11-25 02:09:21,4.9.3
J TS,Top,5,2023-03-09 16:00:16,4.9.3
radiko saumansyah,Memesan pizza yang datang ojek,1,2022-04-16 04:18:21,4.9.3
Yustina Widiastuti,Apkasinya bagus,5,2021-11-18 16:48:14,4.9.3
Taufik Wartabone,Aplikasi jelek,1,2022-07-12 11:45:31,4.9.3
Max parlin Sihotang,Very good,5,2023-10-10 07:25:39,4.9.3
Nauval Nauval,Fitur aplikasinya sangat keren,5,2022-01-06 12:37:05,4.9.3
Jonni Lumbantoruan,Tidak menghargai calon driver nya 4kali bolak balik ke kantor grab Batamudah lengkap persyaratan tapi ngak bisa aktiforang ngojek sendiri yang update aplikasi tidak menghargai orang lain,1,2022-08-09 13:59:41,4.9.3
Kasbul Anwar,Unconnection,5,2021-11-17 15:08:19,4.9.3
Surya Adhiguna H,Gk bisa pesan gojek akun katnya bermaslah lol sy hanya pengguna bkn driver yg di kasih bintang 1 dan skrng apliksi gk bisa dibuka hnya 1 detik keluar sndiri udh hapus data trus uninstal kmdian instal lagi sama saja mending hapus selama2 nya,1,2022-02-11 01:37:01,4.9.3
Muhammad Ikhlash,Oke,5,2022-08-08 10:48:51,4.9.3
Mukhlis Abdul Hakim,sangat membantu,1,2023-10-30 16:46:59,4.9.3
Azwin Yeta,Mudah,4,2022-04-04 12:22:52,4.9.3
Rocih Trinawati03,Sangat bagus,5,2021-12-18 12:05:25,4.9.3
muhammad fikri,y ev cz58425 xc t Exfx gawx WeeSC yg u bytlary lo,4,2022-08-07 00:09:21,4.9.3
Fatkhul Rohman,tetep dibutuhkan,5,2022-12-26 03:21:06,4.9.3
Suyanto Yanto,Ket xgoko e suri ds,5,2022-05-03 10:07:21,4.9.3
Budi Santoso,Tiba tiba aplikasi eror padahal gopay saya masi ada isinya  Sekarang mau download aja ngk bisa  Tolong min solusinya,2,2022-02-14 21:43:11,4.9.3
Ilham Syahputra,Good,5,2021-12-18 13:28:13,4.9.3
ajr official tv,Angga,5,2021-11-07 06:14:47,4.9.3
Akbarr GMG,GAUSAH DI PERIBET DAH ,1,2022-08-02 12:43:44,4.9.3
CHELL,Diperbaikin bugnya masukin nomor yang udah terverifikasi akunnya aja ga bisa,1,2022-05-04 02:29:06,4.9.3
Dedeh Kurniasih,Ok,5,2022-12-23 22:12:05,4.9.3
Siti Khoiriyah,Payah Masa pendaftaran dokumen untuk bisa tarik uang dah setahun gak diproses Udah dikomplain katanya 3 hari selesai eh ternyata gak ada kelanjutan Diprotes lagi gak ada tanggapan Gimana ini Makin ngacooooo Hari ini ya apps error Pesen kurir dari jam set 3 orangnya datang jam 5 Anjir lah Kasihan bapaknya tau Hadeh ngadi ngadi,1,2023-04-12 10:18:48,4.9.3
Ayu Fitriyani Alhasni,Gojek pokoknya terbaiksaran harus pakai ini guyss jujur ini dari pengalaman ku pakai gojek selama naik grab mobil atau motor yang paling bagus pelayanannya hanya gojek Dan saya sudah genap 2 tahun pakai aplikasi ini Terimakasih untuk seluruh driver gojek Indonesia kalian terbaik,5,2022-01-07 12:11:30,4.9.3
Tomi Yuliando,hthto,5,2022-04-04 08:39:09,4.9.3
Assyfa Rahmah Faizah,Tidak biaa log in,1,2021-12-28 03:34:37,4.9.3
M Sukir,Sangat bagus dan nyaman,5,2022-02-21 06:02:32,4.9.1
hasan sidik,Sistemnya menyulitkan driver dapet drivernya jauh terus,1,2022-04-19 11:23:30,4.9.1
Ana Astamisari,Coba,1,2022-05-07 14:08:41,4.9.1
Pengguna Google,Gotix sudah tidak ada di layanan atau cuma di saya saja ya,3,2023-12-28 07:48:01,4.9.1
Robertus Gaut,Nyari restonya digojek trus mesannya pakai ojol lain yg lebih murah kalo daerahku maxim dan ojol lokal lainnya daripada gojek tambahan biayanya banyak banget padahal sdah dapat potongan dari driver resto dan ditambah lgi biaya pemesanan harga makanan dan minumannya jdi naik 50 kalo beli hanya 1 menu jadi mending cari restonya digojek pesannya pakai ojol lain yg lebih murah,2,2022-07-06 02:37:43,4.9.1
Edun Edunia,Kagak bisa di donlod gimana sih  Apk udh gua hapusin semua Wifi lncar msh aj gk bsa,1,2022-03-23 10:30:38,4.9.1
Yunus Widarti,Nyaman dan aman,5,2021-11-07 21:18:55,4.9.1
Amadun Amad,Oke pokoknya,5,2021-12-18 22:38:43,4.9.1
rio mawardi,Halah promonya gajelas Mending juga shopee food Masa diklik ga bisa,1,2022-03-20 03:58:26,4.9.1
Galih P,Uprgade ke gopay plus selalu gagal Dikarenakan ke absahan bagaimana ini,1,2021-11-18 13:59:54,4.9.1
Mezi Zabaedilah,Saya kasih bintang 1 ya gojek karena keterlambatan nya mengatasi problem lupa nomor handphone lama Min bagaimana saya login ke akun gojek saya sedangkan nomor handphone lama saya sudah tidak aktif dan hangus saya lupa nomor yang lama nya karena sudah gak tau nomor nya kemana dan bingung sudah mau laporin tapi gak ada tanggapan yang serius Aplikasi Gojek meresahkan sekarang beda sama aplikasi sebelah lebih maju,1,2022-01-03 20:12:29,4.9.0
Abu karim aljabbar Mkatiksaidi,Ramah banget,5,2024-02-01 08:57:09,4.82.1
Fathan Mubina,Setelah update kok nggak bisa dibuka,4,2024-01-31 15:20:04,4.82.1
Nyauw Jin Fie,Good,5,2024-02-01 12:51:53,4.82.1
Tanaka Kun,Good,5,2024-02-01 04:58:30,4.82.1
Anton S.,Sangat membantu ,5,2024-02-01 08:32:58,4.82.1
Metalizm Studio,Pakai promo gocar Drivernya pada gk mau ambil Tapi disisi drivernya juga gimana untungnya dgn harga segitu gk imbang sama bbmnya Makanya daripada mengecewakan keduanya Diilangin aja,2,2024-02-01 12:34:43,4.82.1
Rianto Efendi,Keren lah pokoknya,5,2024-01-31 16:43:16,4.82.1
ruslan haviez,Mantab,5,2024-02-01 15:08:48,4.82.1
DJ Yath,Aplikasi jelek mau login aja ribet,1,2024-02-02 09:03:24,4.82.1
rama halim,Jangan pakai gopaylater dendanya 50000 jika telat  Dan bunga nya juga gede Ga kata dulu ya  Cuman dikenakan biaya admin saham kalo ini udah kaya pinjol,3,2024-02-02 03:51:03,4.82.1
tria,Aplikasi anj telat bayar gopay katanya padahal tagihannya pas ditgl 2 feb 2024 dendanya 50 rb ga ngotak emang,1,2024-02-02 05:31:33,4.82.1
Kadal Air,Mudah aman,4,2024-02-02 00:50:38,4.82.1
Yul Faizah,Daftarnya susah  parah,1,2024-01-31 02:17:23,4.82.1
Bintang Muda,Ok,5,2024-02-02 01:31:48,4.82.1
Anton Sudarwo,Keren,5,2024-01-31 10:31:47,4.82.1
Charli Charli,Cepat dapat Mantap,5,2024-02-01 15:19:18,4.82.1
nofyarda nence,Lebih praktis sih lebih aman juga Aplikasinya sangat bermanfaat ,5,2024-02-02 03:57:23,4.82.1
Iffat Wildan Syakur Putra Amri,Pelayanan bagus,5,2024-01-31 10:12:14,4.82.1
Kasiadi Yadiz,Sangat mudah dalam penggunaan dan aman,4,2024-02-02 05:42:22,4.82.1
bustamin ahya,Baik,5,2024-02-01 18:05:37,4.82.1
Jat Tfineven,Mesen gofood ribet banget Harga tertera 6xxx begitu pesen harus custom minimal 2 harga malah nambah 2x lipat ga jelass ,1,2024-01-31 04:08:22,4.82.1
Rashif Hadiyan,Memperbudak orang dengan sebuah sistem disaat kepepet harus update dahal  5 bulan ga update bisa di skip,1,2024-02-02 06:46:39,4.82.1
Riza Tarigan,Mantap amanah,5,2024-02-02 07:32:59,4.82.1
Muhammad Aulia Tefhis,Udah di update sama saja gak ada bedanya Koneksi gaada padahal kuota ada,2,2024-02-02 08:32:05,4.82.1
Nikolaus Zaremba,Pertama applikasinya sangat bagus tidak ribet dan sangat mudah penggunaannya Kedua driverbikers nya komunikatif sopan dan selalu nengutamakan keselamatan penumpang dan dirinya sendiri Ketiga tarifnya tidak mahal dan mampu bersaing dengan disebelahnya,5,2024-01-31 05:28:02,4.82.1
Mutiara Putri,Pesan gofood sekarang dapet driver nya lama bangetmohon sistem dirubah seperti dulu cari driver bisa capetpesen mode reguler kok dapet driver 30menitniat pesan biyar capet sampai ini nunggu lama bangetmohon untuk di rubah sistem nya,1,2024-01-31 06:41:57,4.82.1
Gibran Nugraha,Limit gopay pinjam u penguna baru kecil sekali cuma sampai 800k,1,2024-01-31 05:33:06,4.82.1
Ayu Ferryna,sudah 1 blan gopaylater dibokir sdah bayar tepat wkt jga gak bisa dipakai tapi limit ditambah penyelesaian masalah tdk ada solusi gak ada gunanya siiih,2,2024-02-01 23:29:22,4.82.1
Merry Lvna,Gak jelas aplikasinya  tiba2 masa gojek saya gak bisa digunakan Payahh padahal saya butuh bgt,5,2024-02-01 04:10:30,4.82.1
lilis mulyanti,oke bos,5,2024-01-28 06:10:34,4.81.2
Danis Yunita,Saldo gapay later masih banyak tetapi status diblokir tanpa pemberitahuan  Mau kasi bintang 5 ga jadi Kayak ga niat dan ga percaya kasi  Percuma dikasi tapi kita ga bisa gunakan,1,2024-01-28 09:42:11,4.81.2
Sarwan Utomo,Terimakasih,5,2024-01-23 13:05:38,4.81.2
diya ponsel,Susah di akses,3,2024-01-23 13:07:36,4.81.2
Rohani Kristen,GOJEK NGAK USAH KASIH PROMO SAMPE DISCOUNT 5000 KALAU KITA PESAN DRIVER NGAK MAU AMBILAPLIKASI BESAR TAPI TIDAK PROFESIONAL,1,2024-01-23 13:19:41,4.81.2
Kris Khans,Apl andalan,5,2024-01-27 21:16:39,4.81.2
Yusup Fadila,Ko di aplikasi saya gomart nya tidak bisa pakai gopay latter padahal saya bayar selalu tepat waktu loh,3,2024-01-23 13:20:53,4.81.2
Dapa Ramdani,Semoga dapet bonuss banyak aamiin,4,2024-01-28 09:55:37,4.81.2
MONCAH PVP,Ini apk apa gue mau pesen makan mala eror mulu,1,2024-01-27 21:54:55,4.81.2
Albert MiniPoi,Peta citra garden puri seman tolong diupdate driver sering salah jalan dan membuat tarif lebih tinggi karena mutar2,1,2024-01-28 09:50:53,4.81.2
SEGORO ARUM,Mantap,5,2024-01-27 22:02:39,4.81.2
SOEGI AJF,Sudah hampir 2 tahun gopaylater di bekukan di blokir chat CS sudah gak ke hitung tetep aja akhir cuma 1 cara uninstal,4,2024-01-23 23:47:06,4.81.2
Bli Vicky Irianta,Tiba2 saja hanya karena ganti HP gopaylater dr jaman awal transaksi hnya kena biaya 1x tnpa bunga smpai migrasi akhirnya kena bunga 1 hari sebelum ganti HP tagihan sudah di bayar penuh pdahal tgl jatuh tempo msih tanggal 1 mnggu depan,2,2024-01-28 04:42:21,4.81.2
Fafa Farikha,Kirim barang  go send Anter anter  go ride Pergi jauhan  go car Makan cepet  go food Semuuaaaa gojekin ajaaa,5,2024-01-28 04:59:53,4.81.2
Sumarlien Elien,Ini kenapa habis diupdate fitur melihat voucher gofood jadi gak ada,1,2024-01-27 22:35:16,4.81.2
Hanum Azizah,Thank you semoga akun ku banyak promo gofood yang lebih besar lagi ,5,2024-01-23 23:30:15,4.81.2
zeni annisa,Overall membantu pergerakan saya lewat Goride atau GoCar Hanya saja driver pasti tidak mau ambil kalo pilih yang pake Gocar atau Goride hemat Padahal dengan tambahan voucher jadi meringankan sekali Bagi saya yang sering juga mengandalkan Gosend untuk bisnis Jadi percuma Sebaiknya one system aja gak usah pilih pilh kayak gitu Customer udah seneng tapi driver ndak ada yang mau ambil,4,2024-01-27 22:40:56,4.81.2
Adriansyah,Gotix kok nga ada lagi min,3,2024-01-28 10:16:45,4.81.2
Anit Purwanti,Great,5,2024-01-27 22:47:34,4.81.2
Sri Hastuti,Supirnya mau menjawab apa yg kira tanyakan  orgnya supel,5,2024-01-28 09:37:43,4.81.2
sri mulia Rs datu sanggul,Jadi solusi banget saat ga ada waktu untuk keluar rumah,5,2024-01-28 05:01:45,4.81.2
Gozaio Gozalio,Sangat membantu,4,2024-01-28 09:32:24,4.81.2
Edo Nara (Edo Jonathan),Not yo bad,3,2024-01-28 09:31:11,4.81.2
Rangga Almunawar,Di aplikasi ada pilihan gocar hemat tapi percuma udah dapet driver di cancle terus sampe 6 kali Ga efektif gocar hemat di apk,3,2024-01-28 03:54:16,4.81.2
achmad aribowo,Respon cepat,5,2024-01-28 09:25:13,4.81.2
Alesha Saputra,Sangat membantu mudah untuk pesanya,5,2024-01-28 09:24:26,4.81.2
Keke Music,Sangat bermanfaat sekali saat di butuhkan dalam keadaan urgent,5,2024-01-23 13:47:11,4.81.2
Haycalpribadi Pribadi,Kenapa sih harus update lg ky mau ambil kota kita ya,4,2024-01-27 23:01:37,4.81.2
salma aurelya,Top,5,2024-01-28 09:22:45,4.81.2
Abdul Azis Ajaisrullah,Tambah parah ni aplikasi jaringan ada bagustpi gagal terusktnya tidak ada sinyalaneh,2,2024-01-27 23:08:14,4.81.2
Hata Erizally,Mantap,5,2024-01-27 23:16:10,4.81.2
7G_21_Louis Danendra,pelayanan bagus bagus,5,2024-01-23 23:27:57,4.81.2
saia sulistyo,Terima kasih gojek,4,2024-01-27 19:50:12,4.81.2
Rara Andini,gila sihh beli air kelapa ijo 1 doang nunggu 30 menit mana tuh toko kelapa jarak dari rmh cuma 09km doangterus sy udh nunggu 30 menit dibatalin coba bikin orang naik darah aja mana sekarang makin ga jelas gojek kalo mau cepet sampe harus nambah ongkir ga kaya dulu satset2sumpah bukanya makin bagus malah makin buruk pelayanannya,1,2024-01-28 10:21:26,4.81.2
Sandi Sastra,Errornya gak kelarmo isi pulsa aja susahkebanyakan fiturtiba aja gak bisa pakai gopay latter buat beli pulsa padahal blm bisa di pakai buat beli token listrik,1,2024-01-27 23:42:54,4.81.2
Qcgci indonesia,Ok,5,2024-01-28 10:59:57,4.81.2
Rifani,Mentew bro,5,2024-01-28 11:43:43,4.81.2
jing xuan,Kebon jeruk xvii20ckel Mapharkec taman sari Jkt barat,5,2024-01-28 11:28:49,4.81.2
Adriano Tegar,Dapat driver melebihi waktu yang ditentukan terlalu lama,1,2024-01-27 16:07:58,4.81.2
Andra Respati,buruk sekali bagi saya menggunakan ini aplikasi sumpah sampah bgt  pesanan ga nyampe drivernya jga ga ada  kepotong saldo pula  jangan download gojek mending grab apa maxim jelas ini parah uang hilang an71ngg gojek a55uuu,1,2024-01-27 16:09:20,4.81.2
Sigit Rayno,Kecewa sama gojek sekarang apalagi gofoodny udah langganan gofood plus masih aja kena ongkir makin kesini makin gak jelas aja,2,2024-01-27 16:13:46,4.81.2
Morgaan Tatto,Bagus aplikasinya,5,2024-01-23 16:51:22,4.81.2
Denni Saputra,Gojek makin ke sini makin gila aja ni ngasih drever selalu yg jauh2 padahal drever yg dekat banyak Mikir lah drever beli bensin pake duit sendiri kasian kan klo jemputnya jauh Emang cara berpikir kalian itu seperti apa Ko selalu dikasih drever yg jauh2 beda dgn grab,1,2024-01-27 16:17:41,4.81.2
Endi Junaedi,Oke,5,2024-01-28 04:08:04,4.81.2
Billy Julian,Mantap,5,2024-01-28 11:22:22,4.81.2
Chandra Nugraha,Dpt limit gopaylater tp ga bisa dipake ada notif gopay payletter diblokir ,2,2024-01-28 11:12:44,4.81.2
Habib Afif,Sikap driver sabar dalam akurasi pengiriman alamat pelanggan go food,5,2024-01-28 11:45:53,4.81.2
Luthfi naufal Saputra,Gimana cara nya TF tapi lupa pin Sama nomor telepon sudah kadaluarsa bagaimana cara nyaaaa semoga di balas,1,2024-01-27 16:24:50,4.81.2
Zahra Fitrya,Good,5,2024-01-27 16:25:01,4.81.2
Risma Bilqisss,Udah update sampe tak install berkali tetep gabisa dibuka,1,2024-01-28 11:01:22,4.81.2
Lusi,Sangat membantu sekali kalo lagi hujan mager mendadak ada tamu dsb,5,2024-01-28 04:04:06,4.81.2
Fadli Akbar,Alhamdulillahbisa diandalkan dlm kondisi apapunbaik gojek n gofoodnya,5,2024-01-28 10:23:48,4.81.2
Dayat Wanda,BagusMbatu Terima aksih,5,2024-01-27 16:25:30,4.81.2
indonesia mart,Sangat membantu,5,2024-01-27 16:40:11,4.81.2
Basirun,Sanjay membatu,1,2024-01-27 16:44:25,4.81.2
Bagas Ardiansyah,Ok,5,2024-01-27 16:47:50,4.81.2
selvitri eka elfani,Sangat membantu,5,2024-01-24 00:15:26,4.81.2
Rifqi Fredy Kurniawan,jos,5,2024-01-27 16:57:19,4.81.2
Dyah As76,Gojek Sigap Cepat Aman n Nyaman,5,2024-01-28 10:48:40,4.81.2
FATWA YUDISTIRA HAIKAL WIBOWO,Shiiip,5,2024-01-27 18:11:12,4.81.2
Cantika,kerenn,5,2024-01-28 03:56:39,4.81.2
Muhammad Gilang,Saduuuuuuuuuuu,5,2024-01-27 18:35:54,4.81.2
Yadi Aprilliansyah,Kenapa pas ufdate ga bisa di buka,1,2024-01-27 18:53:11,4.81.2
Supriadi Asep,Mantap kasih tiap bulan donk promosi nya heheh,5,2024-01-28 10:48:06,4.81.2
Dade Sutendi,Pake Gojek mau kemana pun jadi mudahsemoga lacar terussss,5,2024-01-28 10:33:57,4.81.2
Sarifah Mutia,Knp haru yg baru lbh payah,3,2024-01-27 23:59:16,4.81.2
