university,tiktok_account,followers,video_caption,likes,video_comments_count,shares,upload_date,comment_text
Universitas Indonesia,@ui_official,1250000,Kegiatan seru mahasiswa UI di akhir pekan! 😆,12386,5,340,2025-01-03,keren banget sih videonya 😍🔥
Universitas Indonesia,@ui_official,1250000,Kegiatan seru mahasiswa UI di akhir pekan! 😆,12386,5,340,2025-01-03,UI emang the best campus 🏫
Universitas Indonesia,@ui_official,1250000,Kegiatan seru mahasiswa UI di akhir pekan! 😆,12386,5,340,2025-01-03,semoga tahun ini lulus UI aamiin 🤲
Universitas Indonesia,@ui_official,1250000,Tips masuk UI versi mahasiswa aktif! 📚💡,11819,5,887,2025-01-04,kok seru banget yaa 😭
Universitas Indonesia,@ui_official,1250000,Tips masuk UI versi mahasiswa aktif! 📚💡,11819,5,887,2025-01-04,makasih infonya kak 🙏
Universitas Indonesia,@ui_official,1250000,Tips masuk UI versi mahasiswa aktif! 📚💡,11819,5,887,2025-01-04,followback dong kak 😅
Universitas Indonesia,@ui_official,1250000,Tips masuk UI versi mahasiswa aktif! 📚💡,11819,5,887,2025-01-04,UI emang the best campus 🏫
Universitas Indonesia,@ui_official,1250000,Tips masuk UI versi mahasiswa aktif! 📚💡,11819,5,887,2025-01-04,keren banget sih videonya 😍🔥
Universitas Indonesia,@ui_official,1250000,Life at UI itu penuh kejutan! 🌿,10850,5,364,2025-01-05,gw jadi makin pengen masuk UI wkwkwk
Universitas Indonesia,@ui_official,1250000,Life at UI itu penuh kejutan! 🌿,10850,5,364,2025-01-05,semoga tahun ini lulus UI aamiin 🤲
Universitas Indonesia,@ui_official,1250000,Life at UI itu penuh kejutan! 🌿,10850,5,364,2025-01-05,ui vibes nya kerasa banget 🟡🔵
Universitas Indonesia,@ui_official,1250000,Life at UI itu penuh kejutan! 🌿,10850,5,364,2025-01-05,videonya cakep bgt kak 🙌
Universitas Indonesia,@ui_official,1250000,Life at UI itu penuh kejutan! 🌿,10850,5,364,2025-01-05,followback dong kak 😅
Universitas Indonesia,@ui_official,1250000,"UI Career Expo 2025, yuk merapat! 🎉",10119,5,481,2025-01-06,kok seru banget yaa 😭
Universitas Indonesia,@ui_official,1250000,"UI Career Expo 2025, yuk merapat! 🎉",10119,5,481,2025-01-06,kontennya selalu informatif!
Universitas Indonesia,@ui_official,1250000,"UI Career Expo 2025, yuk merapat! 🎉",10119,5,481,2025-01-06,followback dong kak 😅
Universitas Indonesia,@ui_official,1250000,"UI Career Expo 2025, yuk merapat! 🎉",10119,5,481,2025-01-06,videonya cakep bgt kak 🙌
Universitas Indonesia,@ui_official,1250000,"UI Career Expo 2025, yuk merapat! 🎉",10119,5,481,2025-01-06,bagus banget editannya!
Universitas Indonesia,@ui_official,1250000,Rekomendasi tempat belajar di UI! 📖,17672,5,754,2025-01-07,keren2 bgt kegiatannya 😆
Universitas Indonesia,@ui_official,1250000,Rekomendasi tempat belajar di UI! 📖,17672,5,754,2025-01-07,semoga tahun ini lulus UI aamiin 🤲
Universitas Indonesia,@ui_official,1250000,Rekomendasi tempat belajar di UI! 📖,17672,5,754,2025-01-07,videonya cakep bgt kak 🙌
Universitas Indonesia,@ui_official,1250000,Rekomendasi tempat belajar di UI! 📖,17672,5,754,2025-01-07,love it! ❤️
Universitas Indonesia,@ui_official,1250000,Rekomendasi tempat belajar di UI! 📖,17672,5,754,2025-01-07,makasih infonya kak 🙏
Universitas Indonesia,@ui_official,1250000,Serunya ospek fakultas tahun ini! 🤩🔥,16692,5,552,2025-01-08,love it! ❤️
Universitas Indonesia,@ui_official,1250000,Serunya ospek fakultas tahun ini! 🤩🔥,16692,5,552,2025-01-08,keren banget sih videonya 😍🔥
Universitas Indonesia,@ui_official,1250000,Serunya ospek fakultas tahun ini! 🤩🔥,16692,5,552,2025-01-08,UI emang the best campus 🏫
Universitas Indonesia,@ui_official,1250000,Serunya ospek fakultas tahun ini! 🤩🔥,16692,5,552,2025-01-08,keren2 bgt kegiatannya 😆
Universitas Indonesia,@ui_official,1250000,Serunya ospek fakultas tahun ini! 🤩🔥,16692,5,552,2025-01-08,gw jadi makin pengen masuk UI wkwkwk
Universitas Indonesia,@ui_official,1250000,Tradisi UI yang wajib kamu tahu! 👀,12634,5,720,2025-01-09,semoga tahun ini lulus UI aamiin 🤲
Universitas Indonesia,@ui_official,1250000,Tradisi UI yang wajib kamu tahu! 👀,12634,5,720,2025-01-09,keren banget sih videonya 😍🔥
Universitas Indonesia,@ui_official,1250000,Tradisi UI yang wajib kamu tahu! 👀,12634,5,720,2025-01-09,kontennya selalu informatif!
Universitas Indonesia,@ui_official,1250000,Tradisi UI yang wajib kamu tahu! 👀,12634,5,720,2025-01-09,keren2 bgt kegiatannya 😆
Universitas Indonesia,@ui_official,1250000,Tradisi UI yang wajib kamu tahu! 👀,12634,5,720,2025-01-09,followback dong kak 😅
Universitas Indonesia,@ui_official,1250000,Kegiatan volunteer mahasiswa UI! ❤️,3917,5,490,2025-01-10,UI emang the best campus 🏫
Universitas Indonesia,@ui_official,1250000,Kegiatan volunteer mahasiswa UI! ❤️,3917,5,490,2025-01-10,mantap UI! 🔥🔥
Universitas Indonesia,@ui_official,1250000,Kegiatan volunteer mahasiswa UI! ❤️,3917,5,490,2025-01-10,kontennya selalu informatif!
Universitas Indonesia,@ui_official,1250000,Kegiatan volunteer mahasiswa UI! ❤️,3917,5,490,2025-01-10,ui vibes nya kerasa banget 🟡🔵
Universitas Indonesia,@ui_official,1250000,Kegiatan volunteer mahasiswa UI! ❤️,3917,5,490,2025-01-10,followback dong kak 😅
